id,type of property,subtype of property,locality,province,postalCode,price,type of sale,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
10546806,HOUSE,COUNTRY_COTTAGE,Oosterzele,East Flanders,9860,1095000,residential_sale,3,0,installed,False,1,1,40,0,0,600,1481,4,0,good
10393998,HOUSE,HOUSE,Antwerp,Antwerp,2000,1099000,residential_sale,6,0,installed,0,1,0,0,0,0,383,303,2,0,good
10455191,HOUSE,APARTMENT_BLOCK,Anderlecht,Brussels,1070,1190000,residential_sale,13,0,usa_installed,False,False,1,10,0,0,600,200,2,0,good
10541443,HOUSE,HOUSE,Uccle,Brussels,1180,1190000,residential_sale,5,0,usa_hyper_equipped,False,False,1,0,0,0,369,530,4,False,good
10612195,HOUSE,HOUSE,Woluwe-Saint-Pierre,Brussels,1150,1195000,residential_sale,4,70,installed,False,False,1,30,1,500,234,967,3,False,to_be_done_up
9402335,HOUSE,MIXED_USE_BUILDING,BRUXELLES,Brussels,1000,1200000,residential_sale,3,0,installed,0,1,0,0,0,0,568,196,2,0,just_renovated
10399881,HOUSE,HOUSE,Kraainem,Flemish Brabant,1950,1200000,residential_sale,6,25,usa_installed,0,False,1,0,1,550,450,873,4,False,good
10462908,HOUSE,HOUSE,SAINT-GILLES,Brussels,1060,1250000,residential_sale,5,50,installed,0,1,1,16,1,130,464,260,2,0,as_new
10620671,HOUSE,HOUSE,Kraainem,Flemish Brabant,1950,1250000,residential_sale,5,40,installed,0,1,1,11,1,800,264,1375,4,0,good
10566240,HOUSE,HOUSE,Kraainem,Flemish Brabant,1950,1250000,residential_sale,5,40,installed,False,False,1,15,1,800,264,1375,4,False,good
10619236,HOUSE,MIXED_USE_BUILDING,Etterbeek,Brussels,1040,1295000,residential_sale,5,0,installed,False,False,1,0,0,0,345,180,2,False,good
10386713,HOUSE,APARTMENT_BLOCK,NEDER-OVER-HEEMBEEK (BRU.),Brussels,1120,1350000,residential_sale,12,0,0,0,1,1,33,0,0,719,252,3,0,to_renovate
10513990,HOUSE,VILLA,Bonheiden,Antwerp,2820,1400000,residential_sale,6,0,hyper_equipped,0,False,1,70,1,3989,524,4410,4,1,good
10515534,HOUSE,HOUSE,Watermael-Boitsfort,Brussels,1170,1480000,residential_sale,6,0,hyper_equipped,0,False,1,17,1,1020,425,1020,3,False,good
